Key,Korean(ko),English(en),Japanese(ja)
PS_ETT_8031,축복 받은 검,Blessed Sword,祝福された剣
PS_ETT_8040,토토와 저주 받은 검,Toto and the Cursed Sword,トトと呪われた剣
PS_ETT_8041,정화작업,Purification,浄化
PS_ETT_8042,걱정,Concern,心配
PS_ETT_8050,토토와 정화된 검,Toto and the Purified Sword,トトと浄化された剣
PS_ETT_8051,완정히 정화된 검,The Fully Purified Sword,完全に浄化された剣
PS_ETT_8060,토토의 지원,Toto’s Support,トトの支援
PS_ETT_8061,성스러운 맑은 물,Holy Pure Water,聖なる清らかな水
PS_ETT_8062,기뻐하는 토토,A Joyful Toto,喜ぶトト
PS_ETT_8070,저주 받은 검의 저주,The Curse of the Cursed Sword,呪われた剣の呪い
PS_ETT_8071,저주 받은 검의 저주,The Curse of the Cursed Sword,呪われた剣の呪い
PS_ETT_8080,옅어진 저주 받은 검의 저주,The Curse of the Faded Curse Sword,呪いが薄れた剣の呪い
PS_ETT_8081,옅어진 저주 받은 검의 저주,The Curse of the Faded Curse Sword,呪いが薄れた剣の呪い
PS_ETT_8090,옮겨 붙은 저주,A Transferred Curse,移りついた呪い
PS_ETT_8091,옮겨 붙은 저주,A Transferred Curse,移りついた呪い
PS_ETT_8100,정화된 검의 축복,The Blessing of the Purified Sword,浄化された剣の祝福
PS_ETT_8101,정화된 검의 축복,The Blessing of the Purified Sword,浄化された剣の祝福
PS_ETT_8110,평화로운 숲,A Peaceful Forest,穏やかな森
PS_ETT_8111,평화로운 숲,A Peaceful Forest,穏やかな森
PS_ETT_8120,온화한 시선,A Gentle Gaze,穏やかな視線
PS_ETT_8121,온화한 시선,A Gentle Gaze,穏やかな視線
PS_ETT_8130,적의어린 시선,A Hostile Gaze,敵意のこもった視線
PS_ETT_8131,적의어린 시선,A Hostile Gaze,敵意のこもった視線
PS_ETT_8140,보안 체계,Security System,セキュリティシステム
PS_ETT_8141,5번의 기회,Five Chances,5回のチャンス
PS_ETT_8142,보안 코드 입력 완료,Security Code Entered,セキュリティコード入力完了
PS_ETT_8150,죽지 못하는 존재들,Undying Beings,死ねない存在たち
PS_ETT_8151,귀기 서린 푸른빛,A Blue Glow Tainted with Malice,鬼気を帯びた青い光
PS_ETT_8152,안전한 길,A Safe Path,安全な道
PS_ETT_8153,뛰어난 무기,An Exceptional Weapon,優れた武器
PS_ETT_8160,숲속의 나무탁자,A Wooden Table in the Forest,森の中の木のテーブル
PS_ETT_8161,깊은 숲속의 휴식공간,A Resting Place Deep in the Forest,深い森の休憩場所
PS_ETT_8162,불필요한 휴식,A Needless Break,不要な休息
PS_ETT_8170,뭔가 다른 실험관,An Unusual Capsule,何か違う実験槽
PS_ETT_8171,연금술사의 휴식공간,The Alchemist’s Resting Place,錬金術師の休憩場所
PS_ETT_8172,꺼림직한 기분,An Unsettling Feeling,嫌な予感
PS_ETT_1000,독초 혹은 약초,Poisonous Plants or Medicinal Herb,毒草または薬草
PS_ETT_1001,전문가가 아니라면,Unless You’re an Expert,専門家でなければ
PS_ETT_1002,독초,Poisonous Plants,毒草
PS_ETT_1003,약초,Medicinal Herb,薬草
PS_ETT_1010,토깨비 무리,A Group of Bonnies,オニサギの群れ
PS_ETT_1011,안전주의,Safety First,安全第一
PS_ETT_1012,암살 성공,Assassination Successful,暗殺成功
PS_ETT_1013,암살 실패,Assassination Failed,暗殺失敗
PS_ETT_1020,주술사의 의식,The Shaman’s Ritual,呪術師の儀式
PS_ETT_1021,의식 훔치기,Steal the Ritual,儀式を盗む
PS_ETT_1022,발각,Discovered,発見される
PS_ETT_1023,의식 방해,Disrupt the Ritual,儀式を妨害する
PS_ETT_1024,의식 무시,Ignore the Ritual,儀式を無視する
PS_ETT_1030,진짜 프레리독 기사,The Real Prairie Dog Knight,本物のプレーリードッグ騎士
PS_ETT_1031,대련,A Sparring Match,模擬戦
PS_ETT_1032,공격,Attack,攻撃
PS_ETT_1040,휴식하기 좋은 그늘,A Shady Spot Perfect for Rest,休むのにちょうどいい木陰
PS_ETT_1041,시원한 휴식,A Refreshing Rest,涼しい休息
PS_ETT_1042,불필요한 휴식,A Needless Break,不要な休息
PS_ETT_1050,짧은 다리새 무리,A Group of Short Leg Birds,短脚鳥の群れ
PS_ETT_1051,안전 불감증,Complacency Toward Safety,安全への油断
PS_ETT_1052,옳은 선택,The Right Choice,正しい選択
PS_ETT_1053,신중한 선택,A Careful Choice,慎重な選択
PS_ETT_2000,안개가 가득한 숲,A Forest Shrouded in Mist,霧に包まれた森
PS_ETT_2001,안개가 가득한 숲,A Forest Shrouded in Mist,霧に包まれた森
PS_ETT_2002,짙은 안개가 가득한 숲,A Forest Filled with Thick Mist,濃い霧に包まれた森
PS_ETT_2003,더욱 짙어진 안개가 가득한 숲,A Forest Swallowed by Even Thicker Mist,さらに濃くなった霧の森
PS_ETT_2004,생명이 느껴지는 숲,A Forest Teeming with Life,命を感じる森
PS_ETT_2005,맑아진 숲,A Cleared Forest,霧が晴れた森
PS_ETT_2006,길을 잃다,Lost the Way,道に迷う
PS_ETT_2007,생명이 가득한 팔찌,Bracelet of Life,生命のブレスレット
PS_ETT_2010,숲속의 오두막,A Cabin in the Forest,森の中の小屋
PS_ETT_2011,맛있는 스프,A Delicious Soup,おいしいスープ
PS_ETT_2012,인간에겐 맞지 않는 재료,Ingredients Not Meant for Humans,人間には合わない材料
PS_ETT_2013,수상한 인물,A Suspicious Figure,怪しい人物
PS_ETT_2020,경험치 나무,The Experience Tree,経験値の木
PS_ETT_2021,경험치 나무,The Experience Tree,経験値の木
PS_ETT_2022,경험치 나무,The Experience Tree,経験値の木
PS_ETT_2023,공짜 경험치,Free Experience,タダの経験値
PS_ETT_2024,안전 우선,Safety First,安全第一
PS_ETT_2025,화가난 황금 도깨비불,An Angry Golden Wisp,怒った黄金の鬼火
PS_ETT_2030,향기로운 열매,A Fragrant Fruit,香りの良い果実
PS_ETT_2031,맛과 영양 모두 갖춘,Rich in Both Taste and Nutrition,味も栄養も十分
PS_ETT_2032,안 익은 열매,An Unripe Fruit,未熟な果実
PS_ETT_2040,산군,Mountain Lord,山の主
PS_ETT_2041,선인,A Virtuous Person,善人
PS_ETT_2042,평범한,An Ordinary Person,平凡な人
PS_ETT_2043,악인,A Villain,悪人
PS_ETT_2050,무기 없는 거인,A Weaponless Giant,武器を持たない巨人
PS_ETT_2051,또 말하는 몬스터,Another Talking Monster,また話すモンスター
PS_ETT_2052,그저 몬스터,Just a Monster,ただのモンスター
PS_ETT_2053,무료와 다름없는,Virtually Free,ほぼ無料
PS_ETT_2054,또 말하는 몬스터,Another Talking Monster,また話すモンスター
PS_ETT_3000,게임을 시작하지,Let The Game Begin,ゲームを始めろ
PS_ETT_3001,해독제,Antidote,解毒剤
PS_ETT_3002,독,Poison,毒
PS_ETT_3003,불신,Distrust,不信
PS_ETT_3010,연구실,Laboratory,研究室
PS_ETT_3011,연금술 탑의 보안체계,The Alchemy Tower’s Security System,錬金術の塔のセキュリティ
PS_ETT_3012,피로 회복제,Stamina Potion,ステミナポーション
PS_ETT_3013,영체 폭탄,Spectral Bomb,霊体爆弾
PS_ETT_3014,꺼림직한 연구실,An Unsettling Laboratory,不気味な研究室
PS_ETT_3020,보안 체계,Security System,セキュリティシステム
PS_ETT_3021,5번의 기회,Five Chances,5回のチャンス
PS_ETT_3030,살덩이들의 실험관,A Capsule of Living Flesh,肉塊の実験槽
PS_ETT_3031,해방,Liberation,解放
PS_ETT_3032,고통,Suffering,苦痛
PS_ETT_3040,죽지 못하는 존재들,Undying Beings,死ねない存在たち
PS_ETT_3041,귀기 서린 푸른빛,A Blue Glow Tainted with Malice,鬼気を帯びた青い光
PS_ETT_3042,안전한 길,A Safe Path,安全な道
PS_ETT_3050,관찰자,The Observer,観察者
PS_ETT_3051,불길한 눈빛,An Ominous Gaze,不吉な視線
PS_ETT_3052,전투 준비,Prepare for Battle,戦闘準備
PS_ETT_3060,변하지 않는 도플갱어,An Unchanging Doppelganger,変わらないドッペルゲンガー
PS_ETT_3061,철학적 물음,A Philosophical Question,哲学的な問い
PS_ETT_3062,몬스터와 다름 없는,No Different from a Monster,モンスターと変わらない
PS_ETT_3063,합류,Joining the Party,合流
PS_ETT_4000,전해지지 못한 보고서,An Undelivered Report,届かなかった報告書
PS_ETT_4001,이계 보고서,An Otherworld Report,異界の報告書
PS_ETT_4010,교만의 영역,The Realm of Pride,傲慢の領域
PS_ETT_4011,교만의 영역,The Realm of Pride,傲慢の領域
PS_ETT_4012,사라진 영역,The Vanished Realm,消えた領域
PS_ETT_4020,탐욕의 영역,The Realm of Greed,強欲の領域
PS_ETT_4021,탐욕의 영역,The Realm of Greed,強欲の領域
PS_ETT_4030,질투의 영역,The Realm of Envy,嫉妬の領域
PS_ETT_4031,질투의 영역,The Realm of Envy,嫉妬の領域
PS_ETT_4040,음욕의 영역,The Realm of Lust,色欲の領域
PS_ETT_4041,음욕의 영역,The Realm of Lust,色欲の領域
PS_ETT_4050,식탐의 영역,The Realm of Gluttony,暴食の領域
PS_ETT_4051,식탐의 영역,The Realm of Gluttony,暴食の領域
PS_ETT_4060,나태의 영역,The Realm of Sloth,怠惰の領域
PS_ETT_4061,나태의 영역,The Realm of Sloth,怠惰の領域
PS_ETT_4070,분노의 영역,The Realm of Wrath,憤怒の領域
PS_ETT_4071,분노의 영역,The Realm of Wrath,憤怒の領域
PS_ETT_4072,벗어날 수 없다,No Way Out,逃げられない
PS_ETT_10000,심상치 않은 기운,An Ominous Presence,ただならぬ気配
