Key,Korean(ko),English(en),Japanese(ja)
PS_EDT_9080,"상당한 불길함이 느껴지는 검이
눈 앞에 나타 났습니다.",A deeply ominous sword appears before you.,"強い不吉さを感じさせる剣が、
目の前に現れました。"
PS_EDT_9081,"불길해 보이는 물건은
건드리지 않는 것이 제일 일지도 모릅니다.","It might be best
not to touch something that looks ominous.","不吉そうな物には、
触れないのが一番かもしれません。"
PS_EDT_9082,"<color=green>{Getting}</color>
불길해 보인다는 것은 느낌일 뿐
잡아 보기 전까지는 알지 못합니다.
당신은 용감하게 검을 잡았습니다.","<color=green>{Getting}</color>
What seems ominous is only a feeling.
You won’t know until you grasp it.
You bravely grasp the sword.","<color=green>{Getting}</color>
不吉に見えるのは、
ただの気のせいかもしれません。
握るまでは、分からないのです。
あなたは勇気を出して、剣を握りました。"
PS_EDT_8000,"당신의 시야에 주변과 어울리지 않는
성스러워 보이는 분수가 보입니다.
좋지 않은 것을 정화하는 힘을 가진것 같습니다.","In your field of vision,
you notice a fountain that seems out of place,
yet appears sacred.
It seems to possess the power
to cleanse that which is tainted.","周囲とは明らかに調和していない、
神聖そうな噴水が視界に入ります。
どうやら、
良くないものを浄化する力を
持っているようです。"
PS_EDT_8001,"<color=green>{Getting}</color>
당신은 사람들의 염원이 담긴
경험를 훔쳤습니다.","<color=green>{Getting}</color>
You steal experience
imbued with the hopes
of countless people.","<color=green>{Getting}</color>
あなたは、
人々の願いが込められた
経験を盗みました。"
PS_EDT_8002,"<color=red>{Losing}</color>
당신은 기도후 마음이 가벼워짐을 느낍니다.","<color=red>{Losing}</color>
After praying,
you feel a weight lift from your heart.","<color=red>{Losing}</color>
祈りを捧げたあと、
心が少し軽くなったのを感じます。
"
PS_EDT_8003,"<color=green>{Getting}</color>
<color=red>{Losing}</color>
저주 받은 검을 분수에 담그자
검에 깃든 저주가 약해짐을 느낍니다.
그러나 분수의 힘으로는
완전한 정화가 불가능 한 듯 합니다.
더 강력한 힘을 가진 성수가 필요한듯 합니다.","<color=green>{Getting}</color>
<color=red>{Losing}</color>
When you submerge the cursed sword in the fountain,
you feel the curse bound to it weaken.
However, the power of the fountain alone
does not seem sufficient for complete purification.
It appears that holy water of greater power is required.","<color=green>{Getting}</color>
<color=red>{Losing}</color>
呪われた剣を噴水に浸すと、
剣に宿る呪いが弱まっていくのを感じます。
しかし、この噴水の力だけでは、
完全な浄化はできないようです。
もっと強い力を持つ聖水が必要なようです。"
PS_EDT_8004,"저주 받은 검을 분수에 담그려 했던 당신은
그 검을 버렸던 것을 떠올렸습니다.","As you attempt to place the cursed sword into the fountain,
you suddenly recall that you already discarded the sword.","呪われた剣を噴水に浸そうとしたあなたは、
すでにその剣を捨てていたことを思い出しました。"
PS_EDT_8010,"""용사님 또 만났어요!!""
당신은 예전에 몬스터 무리에게 쫓기던
흙골렘과 마주쳤습니다.","“Hero! It’s you again!!”
You come face to face with the clay golem
who was once chased by a group of monsters.","「勇者さま、また会えた！」
あなたは、以前モンスターの群れに追われていた
土ゴーレムと出会いました。"
PS_EDT_8011,"<color=green>{Getting}</color>
""토토 이거 줄게요!!!""
당신은 흙골렘이 건네준 물을 마십니다.
상당히 성스러운 기운이 담긴 물이였습니다.","<color=green>{Getting}</color>
""Toto will give you this!!!!""
You drink the water the clay golem hands you.
It is water filled with a powerful holy aura.","<color=green>{Getting}</color>
「トト！ これあげる！！！」
あなたは、土ゴーレムから渡された水を飲みます。
その水には、かなり神聖な気配が込められていました。"
PS_EDT_8012,"""네! 토토 집에 잘 갔어요!!""
당신은 흙골렘과 대화를 하다가 헤어졌습니다.","“Yeah! Toto made it home safe!!”
After talking for a while,
you part ways with the clay golem.","「うん！ トト、おうちにちゃんと帰ったよ！！」
あなたは、
土ゴーレムとしばらく話をしてから、
別れました。
"
PS_EDT_8013,"<color=red>{Losing}</color>
당신은 순수해 보이는 흙골렘을
그냥 둘 수 없었습니다.
""토토 튼튼해요!!!""
흙골렘의 만류에도 불구하고
함께 흙골렘의 식량을 채집하고 헤어졌습니다.","<color=red>{Losing}</color>
You couldn’t bring yourself
to leave the innocent-looking clay golem alone.
“Toto is strong!!!”
Despite the clay golem’s protests,
you gather food together for it
before going your separate ways.","<color=red>{Losing}</color>
「トト、つよい！！！」
無邪気そうな土ゴーレムを、
そのままにしておくことはできませんでした。
土ゴーレムは止めましたが、
一緒に食べ物を集めてから、
別れました。"
PS_EDT_8020,"당신의 눈앞에 한 유령이 나타났습니다.
아무레도 전에 장례식을 치뤄준
방치된 시신의 유령인듯 합니다.
""나에게 명복을 빌어줘서 고맙네""
""약간의 도움이라도 주고 싶네만, 받아주지 않겠나?""","A ghost appears before your eyes.
It seems to be the spirit of a body you once laid to rest,
left unattended before the funeral.
“Thank you for praying for my peace.”
“I would like to offer you a small token of help, if you will accept it.”","あなたの目の前に、
ひとりの幽霊があらわれました。
どうやら以前、あなたが葬儀を行った、
放置されていた遺体の幽霊のようです。
「私のために冥福を祈ってくれて、ありがとう。」
「ささやかな助けだが、受け取ってはくれんか。」"
PS_EDT_8021,"<color=green>{Getting}</color>
당신 유령의 경험을 전수 받았습니다.
유령은 경험을 전수해 주고는 만족한듯
사라집니다.","<color=green>{Getting}</color>
You receive the ghost’s experience.
Having passed it on, the ghost seems satisfied
and fades away.","<color=green>{Getting}</color>
あなたは、幽霊から経験を受け取りました。
経験を渡し終えた幽霊は、
満足した様子で、静かに消えていきます。"
PS_EDT_8030,"""여기 있었어요! 토토 찾고 있었어요!!""
말하는 흙골렘 토토가 머리에
보따리를 이고선 당신을 찾아 왔습니다.","“Found you! Toto was looking everywhere!!”
Toto, the talking clay golem,
comes looking for you with a bundle balanced on its head.","「ここにいた！ トト、さがしてたよ！！」
しゃべる土ゴーレムのトトが、
頭にふろしきをのせて、
あなたを探しにやってきました。"
PS_EDT_8031,"<color=green>{Getting}</color>
당신은 보따리에 싸여있던 검을 잡았습니다.
상당히 좋은 품질의 검이라는 것이 느껴집니다.
당신은 고마움을 담아
토토의 머리를 쓰다듬습니다.
""토토도 기뻐요!!""","<color=green>{Getting}</color>
You take hold of the sword wrapped in the bundle.
You can tell at once that it is of excellent quality.
With gratitude,
you gently pat Toto on the head.
“Toto is happy too!!”","<color=green>{Getting}</color>
ふろしきに包まれていた剣を、
あなたは手に取りました。
かなり質の良い剣だと感じます。
感謝の気持ちを込めて、
あなたはトトの頭をなでました。
「トトも、うれしい！！」"
PS_EDT_8040,"""용사님 또 만났어요!!""
다시 만난 말하는 흙골렘 토토가
당신을 만난 것에 기뻐하며 방방 뜁니다.
그러던 것도 잠시 토토의 시선이 당신이
가지고 있던 저주 받은 검에 고정 됩니다.
""안 좋은 거에요!!!""","“Hero! We meet again!!”
Toto, the talking clay golem you meet once more,
jumps up and down with joy at seeing you again.
But only for a moment—
Toto’s gaze fixes on the cursed sword you are carrying.
“That’s bad!!!”","「勇者さま！ また会えた！！」
再び出会ったしゃべる土ゴーレムのトトは、
あなたに会えたことがうれしくて、
ぴょんぴょん跳ねます。
しかし、しばらくすると、
トトの視線があなたの持っている
呪われた剣に釘づけになります。
「それ、よくないよ！！！」"
PS_EDT_8041,"
<color=red>{Losing}</color>
""토토가 깨끗하게 만들고 돌려 줄게요!!""
토토는 저주 받은 검을 머리에 이고서
어디론가 사라져 버렸습니다.","
<color=red>{Losing}</color>
“Toto will clean it up and bring it back to you!!”
With the cursed sword balanced on its head,
Toto disappears off somewhere.","
<color=red>{Losing}</color>
「トトが、きれいにして返すよ！！」
トトは、呪われた剣を頭にのせて、
どこかへ行ってしまいました。"
PS_EDT_8042,"토토는 당신이 저주받은 검을 가지고 있는 것에
불안을 느끼는것 같습니다.
당신은 토토의 머리를 쓰다듬으며 괜찮다고
안심 시킵니다.","Toto seems uneasy
about you carrying the cursed sword.
You gently pat Toto on the head
and reassure it that everything is fine.","トトは、あなたが呪われた剣を持っていることを、
少し不安に思っているようです。
あなたはトトの頭をなでながら、
大丈夫だと伝えて、安心させます。"
PS_EDT_8050,"""토토가 깨끗하게 만들었어요!!""
다시 만난 토토의 머리에는
성스러운 기운을 내뿜는 검이 올려져 있습니다.","“Toto made it clean!!”
When you meet Toto again,
a sword radiating a holy aura rests atop its head.","「トトが、きれいにした！！」
再び会ったトトの頭の上には、
神聖な気配を放つ剣がのせられています。"
PS_EDT_8051,"<color=green>{Getting}</color>
토토가 건네준 검을 쥐자 마치
이야기속 전설의 용사가 된 것 같은 기분이 듭니다.
""용사님 웃으면 토토도 기뻐요!!""
당신은 고마움을 담아
토토의 머리를 쓰다듬습니다.","<color=green>{Getting}</color>
As you grip the sword Toto hands you,
you feel as if you have become a legendary hero from a tale.
“When you smile, Hero, Toto is happy too!!”
Filled with gratitude,
you gently pat Toto on the head.","<color=green>{Getting}</color>
トトから渡された剣を握ると、
まるで物語に出てくる
伝説の勇者になったような気分になります。
「勇者さまが笑うと、トトもうれしい！！」
感謝の気持ちを込めて、
あなたはトトの頭をなでました。"
PS_EDT_8060,"""토토 집에 있는 깨끗한 물 가져왔어요!!""
토토가 당신에게 맑은 물을 건넵니다.","“I brought clean water from Toto’s home!!”
Toto hands you the clear water.","「トトの家にある、きれいな水を持ってきたよ！！」
トトは、あなたに澄んだ水を手渡します。"
PS_EDT_8061,"<color=green>{Getting}</color>
토토가 건네준 물을 마시자
깨끗한 기운이 당신의 몸을 치유하고
정신을 맑게 해줍니다.","<color=green>{Getting}</color>
As you drink the water Toto hands you,
a pure energy heals your body
and clears your mind.","<color=green>{Getting}</color>
トトから渡された水を飲むと、
きれいな気配があなたの体を癒し、
心まで澄んでいくのを感じます。"
PS_EDT_8062,"""용사님 상냥해요! 토토 기뻐요!!""
기뻐하는 토토와 재밌는 한 때를 보냈습니다.","“Hero, you’re so kind! Toto is happy!!”
You share a pleasant time with a happy Toto.","「勇者さま、やさしい！ トト、うれしい！！」
うれしそうなトトと、
楽しいひとときを過ごしました。"
PS_EDT_8070,"저주 받은 검을 얻은 후로
악몽과 불행에 시달리고 있습니다.","Ever since obtaining the cursed sword,
you have been plagued by nightmares and misfortune.","呪われた剣を手に入れてから、
悪い夢と不幸に悩まされています。"
PS_EDT_8071,"<color=red>{Losing}</color>
저주 받은 검을 버린다고
해결될것 같진 않습니다.","<color=red>{Losing}</color>
It doesn’t seem like simply discarding the cursed sword
will solve the problem.","<color=red>{Losing}</color>
呪われた剣を捨てても、
問題が解決するとは思えません。"
PS_EDT_8080,"저주 받은 검의 저주가 옅어지자
악몽과 불행이 약해졌습니다.","As the curse on the cursed sword weakens,
the nightmares and misfortune begin to fade.","呪われた剣の呪いが薄れると、
悪い夢や不幸も、少しずつ弱まっていきました。"
PS_EDT_8081,"이정도의 악몽과 불행은
강인한 당신에게 영향을 줄 수 없습니다.","Nightmares and misfortune of this degree
cannot affect someone as strong as you.","この程度の悪い夢や不幸は、
強いあなたには影響しません。"
PS_EDT_8090,"저주 받은 검을 버리자
악몽과 불행이 더욱 심해졌습니다.","When you discard the cursed sword,
the nightmares and misfortune grow even worse.","呪われた剣を捨てると、
悪い夢や不幸が、さらにひどくなりました。"
PS_EDT_8091,"<color=red>{Losing}</color>
뒤늦게 버렸던 검을 찾아 봤지만
검은 이미 없어져 버렸습니다.","<color=red>{Losing}</color>
You search for the sword you discarded,
but it is already gone.","<color=red>{Losing}</color>
後になって捨てた剣を探してみましたが、
その剣はすでになくなっていました。"
PS_EDT_8100,"저주 받은 검의 저주가 완전히 정화되었습니다.
검에 깃든 축복이 당신에게 영향을 줍니다.","The curse on the cursed sword has been completely purified.
The blessing bound to the blade now affects you.","呪われた剣の呪いは、
完全にきれいになりました。
剣に宿っていた祝福が、
あなたに影響を与えます。"
PS_EDT_8101,"<color=green>{Getting}</color>
완전히 정화된 검의 축복에 의해
신체의 회복 속도가 빨라졌습니다.","<color=green>{Getting}</color>
Thanks to the blessing of the fully purified sword,
your body’s recovery speed has increased.","<color=green>{Getting}</color>
完全に浄化された剣の祝福によって、
体の回復の速さが早くなりました。"
PS_EDT_8110,"생명력이 가득한 팔찌를 얻은 후
숲의 안개에 방해 받는 일은 없었습니다.
새들은 지저귀고, 꽃들은 피어나는
평화로운 숲입니다.","After obtaining the Bracelet of Life,
you are no longer hindered by the forest’s mist.
Birds chirp, flowers bloom—
it is a peaceful forest.","生命のブレスレットを手に入れてから、
森の霧に邪魔されることはなくなりました。
鳥はさえずり、花は咲き、
とても穏やかな森です。"
PS_EDT_8111,"<color=green>{Getting}</color>
피로가 풀리는 것 같은
평화로운 숲입니다.","<color=green>{Getting}</color>
It is a peaceful forest
where your fatigue seems to melt away.","<color=green>{Getting}</color>
疲れが取れていくような、
穏やかな森です。"
PS_EDT_8120,"익숙한 시선이 느껴집니다.
저번과 다르게 적의는 없는 것을 보니
문제는 없을 듯 합니다.","You feel a familiar gaze upon you.
Unlike before, there is no hostility,
so it doesn’t seem to be a problem.","どこか見覚えのある視線を感じます。
前とは違い、敵意がなので、
問題はなさそうです。"
PS_EDT_8121,시선에서 느껴지는 기운이 한층 더 온화해졌습니다.,The presence you feel from the gaze grows even gentler.,"その視線から感じる気配が、
さらに穏やかになりました。"
PS_EDT_8130,"익숙한 시선이 느껴집니다.
저번과는 비교도 안될 정도의
적의가 느껴집니다.","You feel a familiar gaze upon you.
This time, however, the hostility is far greater
than before.","どこか見覚えのある視線を感じます。
しかし今回は、前とは比べものにならないほどの
敵意を感じます。"
PS_EDT_8131,"어둠속에서 지켜보던 날카로운 눈빛은
이내 사라져 버렸습니다.","The sharp gaze watching from the darkness
soon disappears.","暗がりから見つめていた鋭い視線は、
やがて消えてしまいました。"
PS_EDT_8140,"""침입자 발견""
음성과 함께 땅이 꺼지는 느낌이 들더니
철창으로 막혀있는 방에 도착했습니다.
""본 연금술 탑의 연구원이시라면
보안 코드를 말해 주십시오""","“Intruder detected.”
As the voice echoes, the ground seems to give way beneath you,
and you find yourself in a room sealed with iron bars.
“If you are a researcher of this alchemy tower,
please state the security code.”","「侵入者を確認しました。」
その音声と同時に、
地面が崩れるような感覚に包まれ、
鉄格子で閉ざされた部屋に到着しました。
「この錬金術の塔の研究員であれば、
セキュリティコードを答えてください。」"
PS_EDT_8141,"""보안 코드 5회 입력을 실패했습니다.
보안 체계를 실행합니다.""
철컥 소리와 함께 철창이 열리더니
몬스터 들이 나옵니다.","“Security code input failed five times.
Activating security system.”
With a loud clang, the iron bars slide open,
and monsters emerge.","「セキュリティコードの入力に、
5回失敗しました。
セキュリティシステムを起動します。」
ガチャリという音とともに鉄格子が開き、
モンスターが現れます。"
PS_EDT_8142,"<color=green>{Getting}</color>
""보안 코드 입력이 완료되었습니다.""
숨겨져 있던 문이 열리고
그곳에는 휴식을 할 수 있는 시설이 있었습니다.","<color=green>{Getting}</color>
“Security code entry complete.”
A hidden door opens,
revealing a facility where you can rest.","<color=green>{Getting}</color>
「セキュリティコードの入力が完了しました。」
隠されていた扉が開き、
そこには休める設備がありました。"
PS_EDT_8150,"어두운 복도 너머로 푸른색 빛을 내고 있는
해골들이 떠다니고 있습니다.","Beyond the dark corridor,
skulls emitting a blue glow float in the air.","暗い通路の向こうに、
青い光を放つ骸骨が、
浮かんでいます。"
PS_EDT_8151,"어두운 복도 쪽으로 다가가자
해골들이 당신을 발견하고 다가옵니다.","As you approach the dark corridor,
the skulls notice you and begin to move closer.","暗い通路の方へ近づくと、
骸骨たちがあなたに気づき、
こちらへ近づいてきます。"
PS_EDT_8152,다른 안전한 길이 있을 듯 합니다.,"There seems to be another, safer path.","ほかに、
もっと安全な道がありそうです。"
PS_EDT_8153,"<color=green>{Getting}</color>
해골들 쪽으로 폭탄을 던지자
특이한 색의 빛이 터져 나오더니
해골들이 사라졌습니다.
해골이 있던 위치는 경험만이 존재할 뿐입니다.","<color=green>{Getting}</color>
When you throw a bomb toward the skulls,
a burst of unusually colored light erupts,
and the skulls vanish.
Only experience remains where they once were.","<color=green>{Getting}</color>
骸骨たちに向かって爆弾を投げると、
不思議な色の光がはじけ、
骸骨は消えてしまいました。
骸骨がいた場所には、
経験だけが残っています。"
PS_EDT_8160,"햇빛이 드문 드문 비치는 장소에
누군가 만들어 놓은
나무 탁자를 발견했습니다.","In a place where sunlight filters through in patches,
you discover a wooden table
made by someone.","日差しが差し込む場所に、
誰かが作った
木のテーブルを見つけました。"
PS_EDT_8161,"<color=green>{Getting}</color>
숲속의 시원한 바람이 불어옵니다.","<color=green>{Getting}</color>
A cool breeze blows through the forest.","<color=green>{Getting}</color>
森の中の涼しい風が吹いてきます。"
PS_EDT_8162,"<color=green>{Getting}</color>
휴식은 필요하지 않다고 느껴습니다.
탐색을 서두릅니다.","<color=green>{Getting}</color>
You feel that rest isn’t necessary.
You hasten your exploration.","<color=green>{Getting}</color>
休む必要はないと感じました。
探索を急ぎます。"
PS_EDT_8170,"생활감이 있어보이는 방에서
살덩이들이 들어 있던것과는 다른 느낌의
실험관을 발견했습니다.
들어가 볼 수 있을 것 같습니다.","In a room that feels lived-in,
you discover a capsule
different from the ones that held flesh.
It looks like you can enter it.","生活感のある部屋で、
肉塊が入っていたものとは
違う感じの実験槽を見つけました。
中に入れそうです。"
PS_EDT_8171,"<color=green>{Getting}</color>
실험관은 오랜 탐색으로 지친
몸과 마음을 치료해 주었습니다.","<color=green>{Getting}</color>
The capsule soothes your body and mind,
worn down by long exploration.","<color=green>{Getting}</color>
実験槽は、長い探索で疲れた
体と心を癒してくれました。"
PS_EDT_8172,"실험관에 있던 살덩이들이 떠오른 당신은
눈앞의 실험관에서 떨어졌습니다.","As memories of the flesh-filled capsules resurface,
you lose your footing and fall from the capsule before you.","実験槽に入っていた
肉塊を思い出したあなたは、
目の前の実験槽から落ちてしまいました。"
PS_EDT_1000,"특이한 풀이 눈에 띕니다.
언젠가 읽었던 책에서 봤던
초원에서만 난다고 하던 풀인듯 합니다.","An unusual plant catches your eye.
You recall seeing it in a book you once read—
a plant said to grow only on the plains.","変わった草が目に留まります。
以前読んだ本で見たことのある、
草原にしか生えない草のようです。"
PS_EDT_1001,"정확하지 않다면 함부로 사용하지 않는게
좋을 수도 있습니다.","If you’re not certain,
it may be best not to use it carelessly.","はっきりしないなら、
むやみに使わないほうが
いいかもしれません。"
