Key,Korean(ko),English(en),Japanese(ja)
TT_SRT01,"정비를 위한 야영지를
펼칠 수 있습니다.","You can set up
a camp for maintenance.","やすみを行うため、
キャンプを設営できます。"
TT_SRT02,"야영지에서는 장착중인
장비를 바꿀 수 있습니다.","At the camp,
you can change
your equipped item.","キャンプでは、
装備中の装備を
変更できます。"
TT_SRT03,"야영지에서 휴식을 통해
HP와 STA를
회복 할 수 있습니다.","At the camp,
you can recover
HP and STA by resting.","キャンプでは、
休息によって
HPとSTAを回復できます。"
TT_SRT04,"야영지의 품질에 따라
휴식시 습격 확률이
달라집니다.","The chance of being ambushed
while resting varies depending
on the quality of the camp.","キャンプの品質によって、
休息中に奇襲が
発生することがあります。"
TT_ST01,"HP와 STA, 장비의 상태를
확인 할 수 있습니다.","You can check the status of
your HP, STA, and equipment.","HPやSTA、装備の
状態を確認できます。"
TT_ST02,"장착중인 장비를 눌러
장비의 상세한 정보를
알 수 있습니다.","Click equipped equipment
to view its detailed information.","装備中の装備を
クリックすると、
詳しい情報を
確認できます。"
TT_ST03,"현재 스테이지와
탐색도를 확인 가능합니다.

탐색을 통해 탐색도가 올라가며
탐색도가 100이 되면 탐색시
보스와의 전투가 발생합니다.","You can view the current stage
and exploration progress.

Exploring increases progress,
and when it reaches 100,
a boss battle is triggered
during exploration.","現在のステージと
探索度を確認できます。

探索を行うとで探索度が上がり、
100になると、探索中に
ボスとの戦闘が発生します。"
TT_ST04,"탐색을 할지 정비를 할지
결정 가능합니다.","You can choose whether
to explore or perform maintenance.","探索するか、
キャンプするかを
選択できます。"
TT_TT01,"새로운 게임을 이어가기 전
강화 포인트를 사용하여
강화를 할 수 있습니다.","Before continuing to a new game,
you can use upgrade points
to apply upgrades.","新しいゲームを続ける前に、
強化ポイントで
強化できます。"
TT_TT02,"각 노드의 (+)(-) 버튼을 클릭해
강화 할 수 있습니다.","You can upgrade each node
by clicking the (+) and (–) buttons.","各ノードの（＋）（－）ボタンを
クリックすると、強化できます。"
TT_TT03,"각 노드를 클릭해
상세 효과를 확인 가능합니다.","Click each node to view
its detailed effects.","各ノードをクリックすると、
詳しい効果を確認できます。"
